city,company_name,finance_status,registered_capital,recruit,field,location,latitude,longitude
深圳-龙岗区,深圳市大智创新科技股份有限公司,未融资,2000万人民币,100-499人,汽车/摩托车,平湖镇新木盛低碳产业园G栋,22.663356,114.128486
深圳,深圳市得锐自动化设备有限公司,未融资,305万人民币,1-49人,机械/机电/重工,福田区车公庙泰然六路泰然苍松大厦南座1817,22.532494,114.026885
上海,望新(上海)科技有限公司,,500万人民币,1-49人,仪器/电气/自动化,嘉定区安拓路56弄5号楼2单元,31.279145,121.192555
上海-闵行区,倍信机械设备贸易(上海)有限公司,,582.9万人民币,50-99人,仪器/电气/自动化,陪昆路206号B4,31.019158,121.354661
上海,上海孚创动力电器有限公司,未融资,500万人民币,100-499人,机械/机电/重工,上海市兰嵩路555号A栋802室,31.316625,121.59375
深圳,高创传动,未融资,804.0万人民币,50-99人,仪器/电气/自动化,深圳市南山区科苑路15号，科兴科学园A栋A1-201,22.54878,113.9422
深圳-南山区,深圳大然新风科技有限公司,未融资,1000万人民币,50-99人,机械/机电/重工,中山园路1001号TCL国际E城D1栋3AC,22.568602,113.930542
上海-松江区,上海三重精密模具有限公司,未融资,4554.0万人民币,500-999人,汽车/摩托车,松江高科技园区 洋河浜路3号松沪工业小区B区A座,31.146767,121.291777
上海-浦东新区,嘉控智能科技(上海)有限公司,,100万人民币,100-499人,仪器/电气/自动化,张江高科技园区张东路1387号25幢01室,31.218193,121.63718
北京,北京十维科技有限责任公司,天使轮,254万人民币,1-49人,仪器/电气/自动化,海淀区永丰中科纳米产业园,39.966893,116.347547
广州,广东岩迪机械设备有限公司,未融资,1200万人民币,50-99人,机械/机电/重工,黄埔区云埔工业区埔南路8号,23.125711,113.537657
北京-朝阳区,北京惠昌伟业科技有限公司,未融资,3000万人民币,50-99人,仪器/电气/自动化,东风南路东风5号院,39.95602,116.50827
北京-大兴区,北京海德利森科技有限公司,A轮,1111.11万人民币,100-499人,机械/机电/重工,黄村镇京开路50号,39.693554,116.331585
北京-东城区,科创易科汽车技术(北京)有限公司,,93.75万人民币,50-99人,汽车/摩托车,朝阳门桥,39.924139,116.434112
深圳-宝安区,深圳市瓦力自动化有限公司,未融资,500万人民币,1-49人,仪器/电气/自动化,深圳市宝安区福永街道白石厦龙王庙工业区九栋三楼,22.670362,113.839134
广州-花都区,国安实业(深圳)有限公司,未融资,4800万人民币,1-49人,汽车/摩托车,广东绿苑科技创意园,23.404165,113.220218
广州-海珠区,广东爱义行汽车服务有限公司,未融资,1000万人民币,1000-2000人,汽车/摩托车,新港中路350号客村地铁站,23.096197,113.320331
深圳-宝安区,深圳市东信高科自动化设备有限公司,未融资,1500万人民币,50-99人,机械/机电/重工,沙井街道新桥同富裕工业区恒明珠科技工业园12栋,22.810115,113.846521
上海,擎声自动化科技(上海)有限公司,未融资,600万人民币,1-49人,仪器/电气/自动化,松江区高技路226号4幢,31.097725,121.295111
上海-闵行区,上海驷腾自动化科技有限公司,未融资,500万人民币,1-49人,仪器/电气/自动化,新骏环路588号22号楼A309,31.092083,121.524371
北京-海淀区,中科三川(北京)科技有限公司,,10000万人民币,100-499人,机械/机电/重工,致真大厦,39.977163,116.351631
广州,日立汽车马达系统(广州)有限公司,未融资,104000万人民币,100-499人,汽车/摩托车,增城区永宁街创强路95号,23.169215,113.615033
上海-嘉定区,纳瑞盛(上海)实业有限公司,未融资,5000万人民币,100-499人,机械/机电/重工,嘉定开发区兴文路1399号,31.419522,121.189327
上海,重塑能源,未融资,23000万人民币,100-499人,汽车/摩托车,上海市嘉定区金园一路655号,31.249206,121.315714
